category,sentences,semantic_spread,redundancy_index,cluster_entropy
CableCar,7768,0.5302680730819702,0.530232846736908,4.911463347914579
CityRoadTest,30174,0.4826792776584625,0.4825620651245117,4.368486178519823
HyderPark,10728,0.5052309036254883,0.5067405700683594,4.81994922329095
Lift,5929,0.48995310068130493,0.48863065242767334,4.8627888100236385
M4Highway,20044,0.5243746638298035,0.5269131064414978,4.856098409967093
RuralLoop,19782,0.4668278098106384,0.4655665159225464,4.748213536972502
SckyScarper,3261,0.5229934453964233,0.5231538712978363,4.27691667123706
StarBuck,3326,0.45716530084609985,0.4573027491569519,3.598957541844808
TimesRiver,13951,0.4327971339225769,0.43666547536849976,4.441136716357448
Underground,6259,0.5310670137405396,0.5306470096111298,4.74498896471034
